date,value
2024-05-17,141106127
2024-05-18,141084774
2024-05-19,141082349
2024-05-23,141008181
2024-05-24,140961843
2024-05-25,140941612
2024-05-27,140846571
2024-06-18,140536934
2024-06-20,140457984
2024-06-21,140428293
2024-06-22,140455079
2024-06-25,140399803
2024-06-26,140386155
2024-06-28,140361650
2024-06-30,140352712
2024-07-03,140304170
2024-07-05,140252127
2024-07-06,140251737
2024-07-07,140270254
2024-07-09,140216090
2024-07-10,140250125
2024-07-11,140240736
2024-07-17,140324156
2024-07-18,140327352
2024-07-19,140327410
2024-07-20,140374259
2024-07-21,140381176
2024-07-22,140400343
2024-07-23,140436065
2024-07-24,140418593
2024-07-25,140439165
2024-07-26,140464729
2024-07-27,140481354
2024-07-28,140490086
2024-07-29,140493100
2024-07-30,140516970
2024-07-31,140502550
2024-08-01,140516260
2024-08-02,140563249
2024-08-03,140574922
2024-08-04,140578425
2024-08-05,140548610
2024-08-06,140560633
2024-08-07,140538921
2024-08-08,140518376
2024-08-09,140583059
2024-08-10,140628196
2024-08-11,140676083
2024-08-12,140682334
2024-08-13,140700800
2024-08-14,140706499
2024-08-15,140737985
2024-08-16,140721022
2024-08-17,140763545
2024-08-18,140811102
2024-08-19,140835285
2024-08-20,140865541
2024-08-21,140851793
2024-08-22,140857881
2024-08-23,140874169
2024-08-24,140908910
2024-08-25,140913896
2024-08-26,140936311
2024-08-27,140920468
2024-08-28,140950079
2024-08-29,141010283
2024-08-30,141041740
2024-08-31,141066247
2024-09-01,141067028
2024-09-02,141134858
2024-09-03,141146899
2024-09-04,141204806
2024-09-05,141200261
2024-09-06,141206581
2024-09-07,141181074
2024-09-08,141205585
2024-09-09,141210471
2024-09-10,141214527
2024-09-11,141242771
2024-09-12,141189463
2024-09-13,141220216
2024-09-14,141254591
2024-09-15,141251471
2024-09-16,141228499
2024-09-17,141214314
2024-09-18,141240536
2024-09-19,141278134
2024-09-20,141274510
2024-09-21,141298595
2024-09-22,141320691
2024-09-23,141309803
2024-09-24,141301417
2024-09-25,141300211
2024-09-26,141319614
2024-09-27,141275708
2024-09-28,141291294
2024-09-29,141287316
2024-09-30,141271651
2024-10-01,141300064
2024-10-02,141288360
2024-10-03,141254754
2024-10-05,141229908
2024-10-06,141260822
2024-10-07,141306275
2024-10-08,141274762
2024-10-09,141540092
2024-10-10,141590185
2024-10-11,141580616
2024-10-12,141591673
2024-10-13,141573568
