date,value
2024-05-17,935771561
2024-05-18,935919440
2024-05-19,935804402
2024-05-23,936205161
2024-05-24,936285518
2024-05-25,936170892
2024-05-27,936130413
2024-06-18,934153145
2024-06-20,933210210
2024-06-21,933173558
2024-06-22,933079184
2024-06-25,932777601
2024-06-26,932647062
2024-06-28,932570609
2024-06-30,932840662
2024-07-03,933221198
2024-07-05,933838460
2024-07-06,934090407
2024-07-07,934145198
2024-07-09,934328659
2024-07-10,934390223
2024-07-11,934743812
2024-07-17,935722077
2024-07-18,936086876
2024-07-19,936135425
2024-07-20,936706817
2024-07-21,937329386
2024-07-22,937705450
2024-07-23,937985984
2024-07-24,938510621
2024-07-25,939031434
2024-07-26,939189967
2024-07-27,939338799
2024-07-28,939753925
2024-07-29,940024742
2024-07-30,940142445
2024-07-31,940811514
2024-08-01,941043023
2024-08-02,941485832
2024-08-03,941446471
2024-08-04,941536007
2024-08-05,941413896
2024-08-06,941614832
2024-08-07,942244678
2024-08-08,943096239
2024-08-09,943280853
2024-08-10,943514558
2024-08-11,943776313
2024-08-12,944192942
2024-08-13,944469712
2024-08-14,944906971
2024-08-15,945233647
2024-08-16,945775600
2024-08-17,946223537
2024-08-18,946690747
2024-08-19,947092489
2024-08-20,947717528
2024-08-21,947718612
2024-08-22,947984356
2024-08-23,948394053
2024-08-24,948838699
2024-08-25,948937223
2024-08-26,949141683
2024-08-27,949342618
2024-08-28,949565141
2024-08-29,949801680
2024-08-30,950266356
2024-08-31,950751017
2024-09-01,950774653
2024-09-02,950994558
2024-09-03,951004996
2024-09-04,951462669
2024-09-05,952042394
2024-09-06,952336651
2024-09-07,952265918
2024-09-08,952311297
2024-09-09,952597905
2024-09-10,952746151
2024-09-11,952934894
2024-09-12,953209916
2024-09-13,953641671
2024-09-14,953950516
2024-09-15,954495957
2024-09-16,954737689
2024-09-17,955027670
2024-09-18,955382563
2024-09-19,955576439
2024-09-20,955745362
2024-09-21,956051362
2024-09-22,956097569
2024-09-23,956507431
2024-09-24,956628537
2024-09-25,956638868
2024-09-26,956525359
2024-09-27,956679112
2024-09-28,956695976
2024-09-29,956911346
2024-09-30,957444897
2024-10-01,957660771
2024-10-02,958142012
2024-10-03,957660325
2024-10-05,957990885
2024-10-06,958161374
2024-10-07,958593509
2024-10-08,958532216
2024-10-09,958216692
2024-10-10,958288548
2024-10-11,958352680
2024-10-12,958527231
2024-10-13,958486830
2024-10-14,958369637
2024-10-15,958505853
2024-10-16,958904625
2024-10-17,959239865
2024-10-18,959897161
2024-10-19,959609532
2024-10-20,959672969
2024-10-21,959764315
2024-10-22,959905308
2024-11-23,953506885
2024-11-24,953413708
2024-11-26,953966049
2024-11-27,954017825
2024-11-28,955054839
2024-11-29,955820544
2024-11-30,957358253
2024-12-01,957996131
2024-12-02,958735266
2024-12-03,955827069
2024-12-04,954256047
2024-12-07,954700178
2024-12-08,956326950
2024-12-09,957863412
2024-12-10,958312727
2024-12-11,960960654
2024-12-12,961428773
2024-12-13,963109995
2024-12-14,964537652
2024-12-15,966120770
2024-12-16,967740085
2024-12-17,969148056
2024-12-19,972267124
2024-12-20,974218246
2024-12-21,974571802
2024-12-22,975593771
2024-12-24,977442374
2024-12-25,978659551
2024-12-26,979733767
2024-12-27,980573295
2024-12-28,981580826
2024-12-29,983041272
2024-12-30,984192850
2024-12-31,985869611
2025-01-02,987424276
2025-01-03,988214371
2025-01-04,988910113
2025-01-06,990813776
2025-01-07,991836871
2025-01-09,993392492
2025-01-10,994619299
2025-01-12,997511525
2025-01-13,998139370
2025-01-14,999513624
2025-01-16,1001399387
2025-01-17,1002211457
2025-01-18,1003204437
2025-01-19,1004135149
2025-01-21,1008351364
2025-01-22,1010177601
2025-01-23,1012034276
2025-01-24,1012611568
2025-01-25,1014458314
2025-01-26,1014664643
2025-01-27,1015953394
2025-01-29,1018105952
2025-01-30,1019120442
2025-01-31,1019970039
2025-02-01,1020771126
