date,value
2025-05-19,10779752459
2025-05-20,10784501335
2025-05-21,10882262901
2025-05-22,10713262201
2025-05-23,10829008863
2025-05-24,10674470015
2025-05-28,10773589972
2025-05-30,10863309956
2025-06-01,10649144292
2025-06-02,10448309708
2025-06-03,10463875193
2025-06-04,10568497120
2025-06-05,10467550191
2025-06-06,10473255651
2025-06-07,10918551309
2025-06-09,10920610174
2025-06-10,10978356554
2025-06-11,10968318755
2025-06-12,10972376645
2025-06-13,10827329878
2025-06-14,10810685725
2025-06-15,10806074756
2025-06-16,10806801365
2025-06-17,10750148673
2025-06-18,10756344098
2025-06-19,10758806460
2025-06-20,10756967532
2025-06-21,10686451126
2025-06-22,10587237212
2025-06-24,10343631014
2025-06-25,10344266509
2025-06-28,10219513769
2025-06-29,10221275480
2025-06-30,10221845662
2025-07-01,10163570346
2025-07-02,10775354599
2025-07-03,10471519995
2025-07-04,10582278064
2025-07-05,10827083627
2025-07-06,10822470341
2025-07-08,10956992547
2025-07-09,10961706358
2025-07-12,10492715757
2025-07-14,10503877474
2025-07-16,10932316586
2025-07-17,10950651654
2025-07-20,10804275814
2025-07-21,10594496924
2025-07-23,10551427349
2025-07-24,10971470356
2025-07-28,10672451405
2025-07-29,10368917406
2025-07-30,10424161655
2025-07-31,10419167585
2025-08-01,10525336231
2025-08-02,10424330888
2025-08-03,10426349750
2025-08-04,10424048987
2025-08-05,10423264281
2025-08-06,10443846075
2025-08-07,10442052647
2025-08-08,10433022208
2025-08-09,10337617734
2025-08-10,10335908733
2025-08-11,10325399114
2025-08-12,10524827387
2025-08-13,10522563322
2025-08-15,10593799396
2025-08-16,10595182567
2025-08-17,10595180858
2025-08-20,11051358572
2025-08-21,11063318327
2025-08-23,10857817648
2025-08-24,10858193507
2025-08-26,10858791118
2025-08-27,10968288857
2025-08-28,10801016079
2025-08-29,10725218598
2025-08-30,10719924681
2025-09-01,10722275234
2025-09-02,10502075901
2025-09-04,10484829833
2025-09-07,11097885761
2025-09-08,10968922473
2025-09-10,10957482893
2025-09-11,11064725060
2025-09-12,10979948516
2025-09-13,10959832961
2025-09-14,10961853893
2025-09-15,10965382475
2025-09-16,10970648793
2025-09-18,10901004393
2025-09-19,10904775022
2025-09-21,10845825809
2025-09-22,10843915383
2025-09-23,10857183942
2025-09-25,10869273361
2025-09-27,10740083039
2025-09-28,10738506451
2025-09-29,10738093261
2025-09-30,10747031657
2025-10-01,10984770392
2025-10-02,10656757819
2025-10-03,10644456459
2025-10-04,10644436363
2025-10-05,10642937461
2025-10-08,11386139979
2025-10-09,11350260763
2025-10-11,11214933501
2025-10-16,10716939439
2025-10-17,10613652876
2025-10-18,10946541475
2025-10-20,10943634205
2025-10-21,11505051631
2025-10-23,11462189009
2025-10-25,11437602439
2025-10-27,11444862219
2025-11-02,11036965125
2025-11-03,11038457455
2025-11-04,11039594530
2025-11-05,11028444770
2025-11-06,11036990731
2025-11-07,11041532078
2025-11-08,11048112949
2025-11-09,11152103120
