date,value
2025-04-09,11528939847
2025-04-10,11527534368
2025-04-11,11132776079
2025-04-12,11133178581
2025-04-14,11134667268
2025-04-16,11134215901
2025-04-17,11134641792
2025-04-18,11135344740
2025-04-20,11135039224
2025-04-24,11128854004
2025-04-25,11625368820
2025-04-26,11624132272
2025-04-27,11624541028
2025-04-28,11623179578
2025-04-29,12619971461
2025-04-30,12620871640
2025-05-01,12621385801
2025-05-02,12119997176
2025-05-03,13120422250
2025-05-04,13120628109
2025-05-05,13121025383
2025-05-06,12124113791
2025-05-07,12125960181
2025-05-08,11626467326
2025-05-10,11619108879
2025-05-11,12602316158
2025-05-12,12607489051
2025-05-13,12575044643
2025-05-14,12574467795
2025-05-15,12569786725
2025-05-16,12570718554
2025-05-17,12571149533
2025-05-18,12572609036
2025-05-19,12573670130
2025-05-20,12577305775
2025-05-21,12560602248
2025-05-22,12543026834
2025-05-23,12543433270
2025-05-24,12551798740
2025-05-28,12550095340
2025-05-30,11554716924
2025-06-01,11555898659
2025-06-02,11086001000
2025-06-03,11085780279
2025-06-04,11085090011
2025-06-05,12085886155
2025-06-06,12087068852
2025-06-07,11556127345
2025-06-09,11555338017
2025-06-10,11613669173
2025-06-11,11613000567
2025-06-12,11612565885
2025-06-13,11615231661
2025-06-14,11638586650
2025-06-15,11638781958
2025-06-16,11638560761
2025-06-17,11637119434
2025-06-18,11637247792
2025-06-19,11637413028
2025-06-20,11637069171
2025-06-21,11637515161
2025-06-22,11638417186
2025-06-24,11661996752
2025-06-25,11661394426
2025-06-28,11662247666
2025-06-29,11661782907
2025-06-30,11661005897
2025-07-01,11659826824
2025-07-02,11160521526
2025-07-03,11160684404
2025-07-04,11164976984
2025-07-05,11665101795
2025-07-06,11668445844
2025-07-08,11671069874
2025-07-09,11671349845
2025-07-12,13337656982
2025-07-14,13338543792
2025-07-16,13845527579
2025-07-17,12784126098
2025-07-20,12772838019
2025-07-21,12626512282
2025-07-23,12645427181
2025-07-24,12110665365
2025-07-28,12093968357
2025-07-29,12103674516
2025-07-30,12107890598
2025-07-31,12110660024
2025-08-01,12115010204
2025-08-02,11637719447
2025-08-03,11641527370
2025-08-04,11641052883
2025-08-05,11657823221
2025-08-06,11643097221
2025-08-07,11651897959
2025-08-08,11650630003
2025-08-09,11630241400
2025-08-10,12637317451
2025-08-11,12641910898
2025-08-12,12656490458
2025-08-13,12636822940
2025-08-15,12684859393
2025-08-16,12684961960
2025-08-17,12684763033
2025-08-20,12207556589
2025-08-21,12217573182
2025-08-23,12205831032
2025-08-24,12196650024
2025-08-26,12190534882
2025-08-27,12189257580
2025-08-28,12167727505
2025-08-29,12159915065
2025-08-30,12151175782
2025-09-01,12118751724
2025-09-02,12717779016
2025-09-04,12735976304
2025-09-07,12170768903
2025-09-08,12170223536
2025-09-10,12170012329
