date,value,x
2024-05-17,5102703297,1715979500000
2024-05-18,5103182665,1716052331000
2024-05-19,5103580498,1716102700000
2024-05-23,5103893726,1716445812000
2024-05-24,5100585767,1716520121000
2024-05-25,5098770061,1716652251000
2024-05-27,5097814953,1716822901000
2024-06-18,5106904139,1718716632000
2024-06-20,5111522141,1718918592000
2024-06-21,5113291857,1719011992000
2024-06-22,5112260973,1719066332000
2024-06-25,5109423014,1719321682000
2024-06-26,5112346744,1719412540000
2024-06-28,5111225995,1719576350000
2024-06-30,5112853041,1719706680000
2024-07-03,5110743522,1720011942000
2024-07-05,5119221240,1720197500000
2024-07-06,5118602941,1720294450000
2024-07-07,5120050269,1720395450000
2024-07-09,5124772725,1720552540000
2024-07-10,5126633594,1720646971000
2024-07-11,5126841732,1720703432000
2024-07-17,5131075340,1721221691000
2024-07-18,5133070248,1721268900000
2024-07-19,5138406706,1721355300000
2024-07-20,5138653854,1721441700000
2024-07-21,5139829241,1721528100000
2024-07-22,5138481039,1721614500000
2024-07-23,5140731419,1721700900000
2024-07-24,5143536725,1721787292000
2024-07-25,5145929484,1721873700000
2024-07-26,5145467550,1721960100000
2024-07-27,5145330313,1722046500000
2024-07-28,5146489694,1722132900000
2024-07-29,5148730080,1722219300000
2024-07-30,5148731767,1722305700000
2024-07-31,5157213563,1722392100000
2024-08-01,5147168370,1722478500000
2024-08-02,5157805263,1722638460000
2024-08-03,5157070822,1722651300000
2024-08-04,5158407760,1722737700000
2024-08-05,5160227205,1722824100000
2024-08-06,5158121170,1722910500000
2024-08-07,5161781279,1722996900000
2024-08-08,5159642507,1723083300000
2024-08-09,5159618858,1723169700000
2024-08-10,5157413175,1723256100000
2024-08-11,5158784246,1723342500000
2024-08-12,5158222849,1723428892000
2024-08-13,5161312842,1723515300000
2024-08-14,5167035158,1723601700000
2024-08-15,5169923921,1723688100000
2024-08-16,5169609055,1723774500000
2024-08-17,5167863538,1723860900000
2024-08-18,5172729570,1723947300000
2024-08-19,5173760769,1724033700000
2024-08-20,5175082076,1724120100000
2024-08-21,5178094765,1724206500000
2024-08-22,5179656246,1724292900000
2024-08-23,5181480907,1724379292000
2024-08-24,5182711762,1724465700000
2024-08-25,5184393876,1724552100000
2024-08-26,5185026555,1724638500000
2024-08-27,5187159515,1724724900000
2024-08-28,5188189530,1724811300000
2024-08-29,5191884886,1724897692000
2024-08-30,5194868774,1724984100000
2024-08-31,5196793852,1725070500000
2024-09-01,5197960160,1725156900000
2024-09-02,5199434859,1725301771000
2024-09-03,5200260239,1725329692000
2024-09-04,5201911534,1725416092000
2024-09-05,5206937484,1725502492000
2024-09-06,5205980198,1725588900000
2024-09-07,5205343882,1725675300000
2024-09-08,5204626003,1725761700000
2024-09-09,5205962910,1725848092000
2024-09-10,5208627656,1725934500000
2024-09-11,5208235266,1726020892000
2024-09-12,5207676588,1726107300000
2024-09-13,5212381626,1726193700000
2024-09-14,5210503076,1726280100000
2024-09-15,5212602805,1726366500000
2024-09-16,5207539530,1726452892000
2024-09-17,5208133456,1726539300000
2024-09-18,5206358417,1726625700000
2024-09-19,5205833627,1726712100000
2024-09-20,5205743196,1726798500000
2024-09-21,5208486257,1726884900000
2024-09-22,5208789490,1726971300000
2024-09-23,5209494530,1727057700000
2024-09-24,5210893470,1727144100000
2024-09-25,5213844078,1727230500000
2024-09-26,5214871402,1727316892000
2024-09-27,5216800968,1727403300000
2024-09-28,5213916283,1727489692000
2024-09-29,5226888361,1727576100000
2024-09-30,5216173280,1727662500000
2024-10-01,5211523642,1727748900000
2024-10-02,5214680491,1727835300000
2024-10-03,5205553174,1727921700000
2024-10-05,5203073164,1728094500000
2024-10-06,5204135229,1728180892000
2024-10-07,5204100684,1728267300000
2024-10-08,5202444328,1728353692000
2024-10-09,5202041291,1728440092000
2024-10-10,5201980175,1728526500000
2024-10-11,5206615431,1728612900000
2024-10-12,5206542517,1728699300000
2024-10-13,5208357779,1728785700000
2024-10-14,5209637397,1728872100000
2024-10-15,5209642729,1728958500000
