date,value,x
2024-05-17,912042539,1715979500000
2024-05-18,911623973,1716052331000
2024-05-19,911615691,1716102700000
2024-05-23,911258206,1716445812000
2024-05-24,912491225,1716520121000
2024-05-25,912319691,1716652251000
2024-05-27,912550967,1716822901000
2024-06-18,917581686,1718716632000
2024-06-20,917020787,1718918592000
2024-06-21,916404127,1719011992000
2024-06-22,916779584,1719066332000
2024-06-25,918219337,1719321682000
2024-06-26,917969681,1719412540000
2024-06-28,917874851,1719576350000
2024-06-30,917614816,1719706680000
2024-07-03,917723816,1720011942000
2024-07-05,918428169,1720197500000
2024-07-06,917925497,1720294450000
2024-07-07,918205584,1720395450000
2024-07-09,919145858,1720552540000
2024-07-10,917651635,1720646971000
2024-07-11,917467050,1720703432000
2024-07-17,921183994,1721221691000
2024-07-18,922434180,1721268900000
2024-07-19,922738979,1721355300000
2024-07-20,924869334,1721441700000
2024-07-21,925594555,1721528100000
2024-07-22,925501972,1721614500000
2024-07-23,926778468,1721700900000
2024-07-24,926728435,1721787292000
2024-07-25,927867441,1721873700000
2024-07-26,928082501,1721960100000
2024-07-27,929030679,1722046500000
2024-07-28,928535845,1722132900000
2024-07-29,928341673,1722219300000
2024-07-30,928644645,1722305700000
2024-07-31,928635511,1722392100000
2024-08-01,929156191,1722478500000
2024-08-02,930015178,1722638460000
2024-08-03,929976032,1722651300000
2024-08-04,929184808,1722737700000
2024-08-05,929235587,1722824100000
2024-08-06,929811308,1722910500000
2024-08-07,930469471,1722996900000
2024-08-08,931020646,1723083300000
2024-08-09,928579359,1723169700000
2024-08-10,929366335,1723256100000
2024-08-11,929017414,1723342500000
2024-08-12,929523083,1723428892000
2024-08-13,930915893,1723515300000
2024-08-14,930301795,1723601700000
2024-08-15,930529463,1723688100000
2024-08-16,930111513,1723774500000
2024-08-17,930177244,1723860900000
2024-08-18,930355643,1723947300000
2024-08-19,930169644,1724033700000
2024-08-20,931513072,1724120100000
2024-08-21,930521809,1724206500000
2024-08-22,932530224,1724292900000
2024-08-23,932510947,1724379292000
2024-08-24,932444709,1724465700000
2024-08-25,932906983,1724552100000
2024-08-26,932831945,1724638500000
2024-08-27,932510545,1724724900000
2024-08-28,934415737,1724811300000
2024-08-29,935642321,1724897692000
2024-08-30,935174638,1724984100000
2024-08-31,935604752,1725070500000
2024-09-01,936098736,1725156900000
2024-09-02,935391442,1725301771000
2024-09-03,935079832,1725329692000
2024-09-04,935470590,1725416092000
2024-09-05,933838020,1725502492000
2024-09-06,934817180,1725588900000
2024-09-07,934078722,1725675300000
2024-09-08,934502060,1725761700000
2024-09-09,934117110,1725848092000
2024-09-10,934349588,1725934500000
2024-09-11,935115841,1726020892000
2024-09-12,934289775,1726107300000
2024-09-13,933106301,1726193700000
2024-09-14,933468155,1726280100000
2024-09-15,935459527,1726366500000
2024-09-16,934721577,1726452892000
2024-09-17,935382904,1726539300000
2024-09-18,935291299,1726625700000
2024-09-19,936423853,1726712100000
2024-09-20,937235005,1726798500000
2024-09-21,937441777,1726884900000
2024-09-22,937871505,1726971300000
2024-09-23,938867775,1727057700000
2024-09-24,939620931,1727144100000
2024-09-25,939013142,1727230500000
2024-09-26,939357555,1727316892000
2024-09-27,940010657,1727403300000
2024-09-28,939435627,1727489692000
2024-09-29,939672687,1727576100000
2024-09-30,938604339,1727662500000
2024-10-01,939908749,1727748900000
2024-10-02,940418936,1727835300000
2024-10-03,940531935,1727921700000
2024-10-05,938365968,1728094500000
