date,value,x
2024-05-17,935771561,1715979500000
2024-05-18,935919440,1716052331000
2024-05-19,935804402,1716102700000
2024-05-23,936205161,1716445812000
2024-05-24,936285518,1716520121000
2024-05-25,936170892,1716652251000
2024-05-27,936130413,1716822901000
2024-06-18,934153145,1718716632000
2024-06-20,933210210,1718918592000
2024-06-21,933173558,1719011992000
2024-06-22,933079184,1719066332000
2024-06-25,932777601,1719321682000
2024-06-26,932647062,1719412540000
2024-06-28,932570609,1719576350000
2024-06-30,932840662,1719706680000
2024-07-03,933221198,1720011942000
2024-07-05,933838460,1720197500000
2024-07-06,934090407,1720294450000
2024-07-07,934145198,1720395450000
2024-07-09,934328659,1720552540000
2024-07-10,934390223,1720646971000
2024-07-11,934743812,1720703432000
2024-07-17,935722077,1721221691000
2024-07-18,936086876,1721268900000
2024-07-19,936135425,1721355300000
2024-07-20,936706817,1721441700000
2024-07-21,937329386,1721528100000
2024-07-22,937705450,1721614500000
2024-07-23,937985984,1721700900000
2024-07-24,938510621,1721787292000
2024-07-25,939031434,1721873700000
2024-07-26,939189967,1721960100000
2024-07-27,939338799,1722046500000
2024-07-28,939753925,1722132900000
2024-07-29,940024742,1722219300000
2024-07-30,940142445,1722305700000
2024-07-31,940811514,1722392100000
2024-08-01,941043023,1722478500000
2024-08-02,941485832,1722638460000
2024-08-03,941446471,1722651300000
2024-08-04,941536007,1722737700000
2024-08-05,941413896,1722824100000
2024-08-06,941614832,1722910500000
2024-08-07,942244678,1722996900000
2024-08-08,943096239,1723083300000
2024-08-09,943280853,1723169700000
2024-08-10,943514558,1723256100000
2024-08-11,943776313,1723342500000
2024-08-12,944192942,1723428892000
2024-08-13,944469712,1723515300000
2024-08-14,944906971,1723601700000
2024-08-15,945233647,1723688100000
2024-08-16,945775600,1723774500000
2024-08-17,946223537,1723860900000
2024-08-18,946690747,1723947300000
2024-08-19,947092489,1724033700000
2024-08-20,947717528,1724120100000
2024-08-21,947718612,1724206500000
2024-08-22,947984356,1724292900000
2024-08-23,948394053,1724379292000
2024-08-24,948838699,1724465700000
2024-08-25,948937223,1724552100000
2024-08-26,949141683,1724638500000
2024-08-27,949342618,1724724900000
2024-08-28,949565141,1724811300000
2024-08-29,949801680,1724897692000
2024-08-30,950266356,1724984100000
2024-08-31,950751017,1725070500000
2024-09-01,950774653,1725156900000
2024-09-02,950994558,1725301771000
2024-09-03,951004996,1725329692000
2024-09-04,951462669,1725416092000
2024-09-05,952042394,1725502492000
2024-09-06,952336651,1725588900000
2024-09-07,952265918,1725675300000
2024-09-08,952311297,1725761700000
2024-09-09,952597905,1725848092000
2024-09-10,952746151,1725934500000
2024-09-11,952934894,1726020892000
2024-09-12,953209916,1726107300000
2024-09-13,953641671,1726193700000
2024-09-14,953950516,1726280100000
2024-09-15,954495957,1726366500000
2024-09-16,954737689,1726452892000
2024-09-17,955027670,1726539300000
2024-09-18,955382563,1726625700000
2024-09-19,955576439,1726712100000
2024-09-20,955745362,1726798500000
2024-09-21,956051362,1726884900000
2024-09-22,956097569,1726971300000
2024-09-23,956507431,1727057700000
2024-09-24,956628537,1727144100000
2024-09-25,956638868,1727230500000
2024-09-26,956525359,1727316892000
2024-09-27,956679112,1727403300000
2024-09-28,956695976,1727489692000
2024-09-29,956911346,1727576100000
2024-09-30,957444897,1727662500000
2024-10-01,957660771,1727748900000
2024-10-02,958142012,1727835300000
2024-10-03,957660325,1727921700000
2024-10-05,957990885,1728094500000
2024-10-06,958161374,1728180892000
2024-10-07,958593509,1728267300000
2024-10-08,958532216,1728353692000
2024-10-09,958216692,1728440092000
2024-10-10,958288548,1728526500000
2024-10-11,958352680,1728612900000
2024-10-12,958527231,1728699300000
2024-10-13,958486830,1728785700000
2024-10-14,958369637,1728872100000
2024-10-15,958505853,1728958500000
2024-10-16,958904625,1729044900000
2024-10-17,959239865,1729131300000
2024-10-18,959897161,1729217692000
2024-10-19,959609532,1729304100000
2024-10-20,959672969,1729390500000
2024-10-21,959764315,1729476900000
2024-10-22,959905308,1729563300000
2024-11-23,953506885,1732376281000
2024-11-24,953413708,1732414500000
2024-11-26,953966049,1732587300000
2024-11-27,954017825,1732673700000
2024-11-28,955054839,1732760100000
2024-11-29,955820544,1732846500000
2024-11-30,957358253,1732932900000
2024-12-01,957996131,1733019300000
2024-12-02,958735266,1733105700000
2024-12-03,955827069,1733192100000
2024-12-04,954256047,1733278500000
2024-12-07,954700178,1733539472000
2024-12-08,956326950,1733624100000
2024-12-09,957863412,1733710492000
2024-12-10,958312727,1733796900000
2024-12-11,960960654,1733958522000
2024-12-12,961428773,1733969692000
2024-12-13,963109995,1734056100000
2024-12-14,964537652,1734142500000
2024-12-15,966120770,1734228900000
2024-12-16,967740085,1734315300000
2024-12-17,969148056,1734401700000
2024-12-19,972267124,1734574492000
2024-12-20,974218246,1734720982000
2024-12-21,974571802,1734747300000
2024-12-22,975593771,1734833692000
2024-12-24,977442374,1735006500000
2024-12-25,978659551,1735092900000
2024-12-26,979733767,1735179300000
2024-12-27,980573295,1735265700000
2024-12-28,981580826,1735352100000
2024-12-29,983041272,1735452951000
2024-12-30,984192850,1735526720000
2024-12-31,985869611,1735664570000
2025-01-02,987424276,1735800020000
2025-01-03,988214371,1735870500000
2025-01-04,988910113,1735956900000
2025-01-06,990813776,1736129700000
2025-01-07,991836871,1736216100000
2025-01-09,993392492,1736388900000
2025-01-10,994619299,1736475300000
2025-01-12,997511525,1736715510000
2025-01-13,998139370,1736734500000
2025-01-14,999513624,1736872551000
2025-01-16,1001399387,1737005580000
2025-01-17,1002211457,1737084581000
2025-01-18,1003204437,1737171460000
2025-01-19,1004135149,1737252892000
2025-01-21,1008351364,1737425700000
2025-01-22,1010177601,1737557241000
2025-01-23,1012034276,1737657562000
2025-01-24,1012611568,1737684900000
2025-01-25,1014458314,1737843530000
2025-01-26,1014664643,1737857700000
2025-01-27,1015953394,1737944100000
2025-01-29,1018105952,1738121402000
2025-01-30,1019120442,1738205360000
2025-01-31,1019970039,1738289700000
2025-02-01,1020771126,1738376092000
2025-02-02,1021421231,1738462492000
2025-02-03,1020957677,1738548900000
2025-02-04,1021958133,1738635300000
2025-02-05,1022757925,1738721700000
2025-02-06,1023382261,1738808100000
2025-02-07,1024105489,1738894500000
2025-02-09,1025280244,1739067300000
2025-02-10,1025897639,1739153700000
2025-02-11,1027388207,1739314980000
2025-02-12,1027771639,1739365940000
2025-02-13,1028369745,1739412892000
2025-02-14,1029050640,1739499300000
2025-02-15,1029949516,1739585700000
2025-02-16,1031252041,1739672100000
2025-02-17,1031819942,1739758500000
2025-02-19,1032516630,1739931300000
2025-02-20,1033336532,1740017700000
2025-02-21,1033891313,1740104100000
2025-02-22,1035588845,1740190492000
2025-02-23,1036788677,1740276900000
2025-02-24,1037778951,1740363300000
2025-02-25,1038784995,1740449692000
2025-02-26,1039517688,1740536092000
2025-02-27,1039684026,1740628332000
