date,value,x
2024-05-17,1530950099,1715979500000
2024-05-18,1530858369,1716052331000
2024-05-19,1530872518,1716102700000
2024-05-23,1529745229,1716445812000
2024-05-24,1528433059,1716520121000
2024-05-25,1529251167,1716652251000
2024-05-27,1527778441,1716822901000
2024-06-18,1528548709,1718716632000
2024-06-20,1528106440,1718918592000
2024-06-21,1528115065,1719011992000
2024-06-22,1528206639,1719066332000
2024-06-25,1527361136,1719321682000
2024-06-26,1527733175,1719412540000
2024-06-28,1527818185,1719576350000
2024-06-30,1528842937,1719706680000
2024-07-03,1529149278,1720011942000
2024-07-05,1530813248,1720197500000
2024-07-06,1531672056,1720294450000
2024-07-07,1532133619,1720395450000
2024-07-09,1531713981,1720552540000
2024-07-10,1532684532,1720646971000
2024-07-11,1533219707,1720703432000
2024-07-17,1537789773,1721221691000
2024-07-18,1538487356,1721268900000
2024-07-19,1539609282,1721355300000
2024-07-20,1539734991,1721441700000
2024-07-21,1540228901,1721528100000
2024-07-22,1540183904,1721614500000
2024-07-23,1540824922,1721700900000
2024-07-24,1540561257,1721787292000
2024-07-25,1540558385,1721873700000
2024-07-26,1540140682,1721960100000
2024-07-27,1540602175,1722046500000
2024-07-28,1540234602,1722132900000
2024-07-29,1540132749,1722219300000
2024-07-30,1540347445,1722305700000
2024-07-31,1542817258,1722392100000
2024-08-01,1543769620,1722478500000
2024-08-02,1544100471,1722638460000
2024-08-03,1543901789,1722651300000
2024-08-04,1544561641,1722737700000
2024-08-05,1543844891,1722824100000
2024-08-06,1544590273,1722910500000
2024-08-07,1545511347,1722996900000
2024-08-08,1547533857,1723083300000
2024-08-09,1548697094,1723169700000
2024-08-10,1547013816,1723256100000
2024-08-11,1547019428,1723342500000
2024-08-12,1547385435,1723428892000
2024-08-13,1548839806,1723515300000
2024-08-14,1549312158,1723601700000
2024-08-15,1549730660,1723688100000
2024-08-16,1549576758,1723774500000
2024-08-17,1549614899,1723860900000
2024-08-18,1549615386,1723947300000
2024-08-19,1549837877,1724033700000
2024-08-20,1550156838,1724120100000
2024-08-21,1551102972,1724206500000
2024-08-22,1551385506,1724292900000
2024-08-23,1551879559,1724379292000
2024-08-24,1551913161,1724465700000
2024-08-25,1553104164,1724552100000
2024-08-26,1552879811,1724638500000
2024-08-27,1554276153,1724724900000
2024-08-28,1554423335,1724811300000
2024-08-29,1554457940,1724897692000
2024-08-30,1556971337,1724984100000
2024-08-31,1556598979,1725070500000
2024-09-01,1557440127,1725156900000
2024-09-02,1557583093,1725301771000
2024-09-03,1557839389,1725329692000
2024-09-04,1559363747,1725416092000
2024-09-05,1560081437,1725502492000
2024-09-06,1561194606,1725588900000
2024-09-07,1561144054,1725675300000
2024-09-08,1560700064,1725761700000
2024-09-09,1561801363,1725848092000
2024-09-10,1562799945,1725934500000
2024-09-11,1563151539,1726020892000
2024-09-12,1564492075,1726107300000
2024-09-13,1564145639,1726193700000
2024-09-14,1565614363,1726280100000
2024-09-15,1564382955,1726366500000
2024-09-16,1564731330,1726452892000
2024-09-17,1565696404,1726539300000
2024-09-18,1566942462,1726625700000
2024-09-19,1566968307,1726712100000
2024-09-20,1567501977,1726798500000
2024-09-21,1567549071,1726884900000
2024-09-22,1568597941,1726971300000
2024-09-23,1568137573,1727057700000
2024-09-24,1568777748,1727144100000
2024-09-25,1569546961,1727230500000
2024-09-26,1569996668,1727316892000
2024-09-27,1570976717,1727403300000
2024-09-28,1571416600,1727489692000
2024-09-29,1571873718,1727576100000
2024-09-30,1572149941,1727662500000
2024-10-01,1572093054,1727748900000
2024-10-02,1571527257,1727835300000
2024-10-03,1569676813,1727921700000
2024-10-05,1567968478,1728094500000
2024-10-06,1568943366,1728180892000
2024-10-07,1568734902,1728267300000
2024-10-08,1568852698,1728353692000
2024-10-09,1568723987,1728440092000
2024-10-10,1569564222,1728526500000
2024-10-11,1570051842,1728612900000
2024-10-12,1569270630,1728699300000
2024-10-13,1569405219,1728785700000
2024-10-14,1569072650,1728872100000
2024-10-15,1568267358,1728958500000
2024-10-16,1566984954,1729044900000
2024-10-17,1568216952,1729131300000
2024-10-18,1569449033,1729217692000
2024-10-19,1568944019,1729304100000
2024-10-20,1568078234,1729390500000
2024-10-21,1568004892,1729476900000
2024-10-22,1569367547,1729563300000
2024-11-23,1560604726,1732376281000
2024-11-24,1560495535,1732414500000
2024-11-26,1561800725,1732587300000
2024-11-27,1563170264,1732673700000
2024-11-28,1563304232,1732760100000
2024-11-29,1564219170,1732846500000
2024-11-30,1565031054,1732932900000
2024-12-01,1566646407,1733019300000
2024-12-02,1563898231,1733105700000
2024-12-03,1553323908,1733192100000
2024-12-04,1549656894,1733278500000
2024-12-07,1550603127,1733539472000
2024-12-08,1550686342,1733624100000
2024-12-09,1548917923,1733710492000
2024-12-10,1549102881,1733796900000
2024-12-11,1551600491,1733958522000
2024-12-12,1551300851,1733969692000
2024-12-13,1553070570,1734056100000
2024-12-14,1553372248,1734142500000
2024-12-15,1555640459,1734228900000
2024-12-16,1554633698,1734315300000
2024-12-17,1554473377,1734401700000
2024-12-19,1555427885,1734574492000
2024-12-20,1554435839,1734720982000
2024-12-21,1554241350,1734747300000
2024-12-22,1554174026,1734833692000
2024-12-24,1555880347,1735006500000
